2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0,0,0,1.4,0,0,0,3.2,0,1.1,3.8,4.6,1.9
0,3.1,0.01,2,28.6,0,0,0,2,0,0.8,24.7,1.1,0.01
0,0,0.01,0,1,0,0,1,0,0.6,0.01,6.5,0,0.3
0,0,0,0,0,0,0,0.5,0,0.01,0.01,14.9,0.2,0
0,0,0,0,0.01,0,0,2.1,3.7,0.2,0,3,4.5,0
0,0,0,0,2.4,0.1,0.01,0,0,0,0,2.2,0.4,0.01
0,2.7,1.7,3,1,4.9,0,0,0,0,0.01,0,0,0
0,0,38.4,0,0,0.8,0,0.4,0,0,0.8,0,0,4.2
0,0,0,0,0,0,0,0.8,0,0,0,0.01,6.8,0
5.8,0,1.2,1.2,0,0,0.01,0.8,0,0,0,7.1,0.6,0
1.9,0,0,1.6,21.7,1.5,0.4,0,0.2,0,0,0,0.01,0.01
2.1,0,2.2,17.1,3.9,0,0.7,0,0,0.7,0,0.01,1.4,0.6
0,0,0,21,0,0,1.2,0.2,0,8.3,0.2,5.2,0,0
5,0.9,2.3,2.7,0,0,28.3,0,0,0.6,5.7,1.8,0.6,2.8
0,0,2.3,0,0,0,0,0,6.8,0.01,0,0,10.1,2.6
0,0,15.5,0,3,0,1.2,0,14.1,0.4,0,3.6,8.2,0
3.1,0,1,0.01,16,0,11.4,0,0,0,0,16.6,0,12.6
2.1,0,6.3,0,2.5,0,2.3,3.3,0,0,0,2.8,0.5,0
1.8,0,1.8,7,0.5,0,0,0.3,0,0,1.4,0,0,0
6.8,0,0,5,1.1,0,0,0,2.3,0,0.2,0,0,0
0.4,9.6,4.6,0.01,0.01,0.7,0,0,2.8,0,0,0,0.01,4.6
8.5,0,2.6,0,0,6.4,1.2,0,0.1,0,0,0.7,0,0
0,16.5,0.9,0,0.01,0,0,1.3,4,0,0,5.4,0,2.1
0.5,0,1.9,0,0,0,2.3,1,0,0,0,4.6,0,10.1
1.5,0,0.2,0,0,0.01,0,3.7,0,0,0.01,0.01,0,3
0,0,0.2,0,0.6,0,0,11.5,0.01,0,0,2.3,0,0
0,0.01,0,1.5,0,0.01,2.3,0,0,0,0,11.1,0.01,1.2
0,0,0,0.7,4.8,8.7,12.1,4.2,0,0,0,2.5,8.7,0.01
4.5,0,0,0,0,6.6,1.8,1.1,0.49,0,0,0,1.4,0
0,0.7,0,8.2,1,0,1.8,0,0.14,12.3,0,0,0,0
0,0.7,0,5.5,0,0,0,3.8,0,0.01,5.5,0,0,20.3
0,0,0.3,2.4,0,0,0,1.1,0.03,0,0,0,0,0.6
0.01,0,0,0.01,0.8,0.6,0.3,0.2,0,3.7,0,0,0,0.01
0,33.3,0,1,0,0.01,1.9,1.1,0,0,0.4,0,0.2,0.2
0,7.6,4.4,4.9,4.8,0,4.5,0,0,0,2.6,0,0,0
0,0,2,0.01,0,0,0,0,0,0.3,1.9,4.2,0,0
0,0,7.4,0,1.5,0,0,0,0.07,0.5,0.01,0,0.01,0
0,0,6,0,1.8,0,0,4.5,0,0.01,1.9,0,2.5,0
0,0.3,0,0,0,0.8,0,1.3,0.1,1.4,0,0,0.1,0
0,0.3,0,0,0,0,0.01,0,0,2,0,1.5,0.5,16.1
0,0.5,0,0,1.7,7.1,0,0,0,0.01,0,0.6,0.01,7.8
0,0.4,1.1,0,0,6.8,0,0,0,0.01,0,0,1.8,0.01
0,0.01,1.8,2.5,1.5,1.4,0,0,0.07,0,0,0,2.1,4
0,2,1.5,0.7,0,0.6,0,0,0,0,0,0,0.4,11.7
0.8,0,0,0.8,0,0.4,0,0,0,0,0,0,0,0
0.01,0.8,0.01,9,0.01,10.3,0,0,0,0.01,1.4,2,0,0
0,0,0,2.2,0,0,0,0,0,0,0.01,0.7,1,2
0,0,0,0.01,0,0.4,0,0,0,0,0.4,0,0,0
0,1.4,0,8.3,3.6,2.1,0.01,2,0,0,4.2,0,0.4,2.5
0,0,0,23.4,0,2.4,0,4.2,0,0,3,0,0,2
0,1.5,0,5.8,0.01,1.4,0,0.5,0,0.7,0,0,0.01,1.4
0,0.9,0,5.5,0.4,0.6,0.5,1,0,0,0,0,0,0
0,0.2,5.4,0,0.01,0,0.2,1.6,19.1,0,2.9,0,0,8.5
1.5,0,7.3,2.7,0,10.7,0,1.6,9.6,0.01,0,0,0,3.6
14.2,6.8,20.5,0.01,1.6,5.7,0,2.4,6.9,0.01,0,1.2,0,0.1
0.3,3,17.7,0,0,0,0,0,0.8,0,2.9,0.1,0,0.01
3.5,0.01,0,2,0,0,1.2,0,10.4,0,0.1,0,0.2,0
16.7,1.5,0,0.01,4.2,2.3,0.4,0.01,2.3,0,0,0,0,0
9.8,0.01,0,4.8,1.8,0.5,1.9,0,0.5,0,0.9,0,0,0
0,0,0,16.7,0,0,0,0,0.3,1.3,6.5,2.7,0,0
0,1,0,7.9,0,0,0,0,0,0.01,0.6,0,0,2.6
0,0.01,0.1,0,0.2,0.1,0,0,0,0.8,0,3,0,0.4
0,0.7,0,0,0,0,7.1,0.01,0,3.2,0,0.4,0.8,0
0,0,2.8,0,0,0,43.2,0.5,0,0,1.2,5,0,0
0,0,0,0,0,0,4.9,25.1,0,0,0,0,0.01,4.6
0.01,0,3,0,0,0,0,1.1,0,0,0,0.01,0,0.5
1.8,0,0,0,1.5,1.6,0.01,1.2,0.4,46.8,0,0,1.2,0.8
0,0,0,0,0,0.4,0,9.1,0.5,2.6,0,2.5,4.5,0
0,0,0,0,0,1.1,0,0.7,8.7,0,0,4,0,0
7.9,0,0,0,0,0,0,0,19.1,0.6,0.6,1.7,0.01,0
3.5,0,0,0,0,0,0,118.9,0.01,0,0,0,0.3,0.01
0,0,0,0,4.5,2.7,0,17.5,1.8,0.2,0,0,4.3,0
0,0.01,0,0,0.9,7.3,0.6,0.9,0.4,0.01,0,0,3.6,1
1.8,0.5,0,0,0,0,4.8,1.2,0.01,0,0.4,0,12.7,0.2
4.9,2.3,4.3,0,0,1.6,2,0,5,0,0,0,5.6,0
0.6,0.2,12,0,0,0,0,0,6.8,1.1,0,0.3,0,0
0.01,0,1.2,0,4.8,0,0,0.9,7.5,0,0,0,0.7,0.01
0,0,13.4,0,0,0,0,0.6,4.5,0,0,0,16.8,0
0,0.01,0,4,0,0.01,1.7,0.4,10.1,4.2,0,0.2,7,1.5
0,0.01,10.5,21.8,0,0,0,4.6,35.4,1.4,0,0.2,6.1,0.4
0.01,0.4,8.5,12.1,28.7,0,1.8,0,0,0,0,0,9.8,1
6.9,0.01,2.7,47.5,3.9,0,0,0,0.5,0,0,0,0,0
0.2,0.01,0,0,0,0,1,0,24.7,0,1.3,3.6,0.01,0
40.5,3.6,0,0,0,0,0,0,3.7,0,0,0,0,1.7
10.8,24.4,7.7,2.2,0,0,0,0.3,0.7,0,0,0,0,0
11.9,25.6,3.2,1.7,38.6,0,0,0.7,8.1,0,0.01,0,0,2.2
94.2,38.6,0,2.3,0,0,0,0.01,65.1,0,0,0,0,11.1
23.6,2.4,0,1.2,0,0,0,0,77.6,7,0,0.01,0,3.1
7.7,0,0,0,35.9,0,0,4.1,0,0,0,0,0,0
13.1,0.01,0,0,8.6,0,0,5.1,0.4,0.01,0,0,4.2,0
5.6,0,0,0,0,0,0,0,118.5,0.1,2,0,13.4,0
5.5,0,0,0,3.6,0,0,4.1,9.8,0.1,0.01,2,0.6,0
0.4,0,0,0,1.2,0,0,0.01,0.2,0,34.6,0.01,6.1,0.6
0,0,0,0.4,0,0,0,0,2.4,0,0,0,2.6,0
0,1.4,0,0,0,0,0.5,0,10.7,0,0,0,17.1,0
1.5,0,0,6.3,0,0,0,0.01,0.01,2.9,0,0.01,0,0
0,0,0,40.3,0,0,14.5,2.1,0.3,9.8,0,6.5,0.01,0
0,0,2.7,0,4.4,0,19.8,4.8,40.5,0,0,0.4,0,0
0,0,0,0,0,2,5.8,52.5,23.1,0,0,0.01,0.01,0
0,0,2.5,0,0,1.4,0,194,13.5,0.01,0,0.6,7.5,8.9
2.2,0.01,9.3,0,0,0,0,4.1,17.4,0.01,4.1,3.3,0,0.2
0.01,0,0.2,0.6,0,0,1.2,0,31.5,14.5,0,0,0,0
0.01,0,0,0.01,0,0,0.01,0,11.9,1.8,0,0,0,0
1.5,0,0,0,0,0,0.01,0,0,21.8,0,0,32.8,0
1,0,0,4.5,0,0,0,0,11.9,13.2,0,18,4.2,0
0,0,0.3,8.7,1.2,0,5.2,0,1.5,3.1,0,12.3,3.1,0.01
0,0,1.3,49.5,1.8,0,86.3,0,1.5,0,0,13.1,13.9,5
0,38.1,0,27.6,30,3.3,42.8,0,0.01,0.2,0.01,1.6,81.3,0
1.4,4.1,0,3.5,0,0,23.6,0,0,3,0,0,52.2,0
0,30.5,1.2,0.5,60,0.1,15.7,0,0,0.01,0,0,6.1,0
0,0,22.8,0,3.3,0.01,0,0,5.6,4.4,0,3.2,0.2,0.01
0,0,14.8,0,0,0,0,0,20.6,0,0,2.1,2.7,4.4
6.3,0.01,2,0,0,0,0,0,0,0.01,0,0.6,0,0
0.01,3.2,0.6,0,11,3.7,0,6.5,6.2,51.3,0,0,2.6,7
1.1,31.9,0.01,0,32.8,0.1,0.9,1.1,16.2,17.4,0,0,0.3,8.6
0,0.3,0,0.01,1.1,0,0,0.1,7.1,0,0,4.2,0,0
5.8,0,0,8.2,0,0.01,0,0,172.2,,0,0,18.8,7.2
0,0,0.01,4,1.1,2.7,0,0,41.3,,0,0,5.8,0
0,0,0,35.6,22.2,0.01,9.2,0,0,,0,0,0,0
2.4,0,0,7.4,36.7,0.8,0,0,0,,0.01,0,35.5,0.6
6.4,0.3,0,0,12.6,0,0,0,0,,0,0,134.3,0.4
1,9.3,0.01,0,31.4,0,0,11,10.5,,0.01,0,110.7,0
10.7,0,0.01,2.2,11.1,0,0,0,0,,0,0,80,0
0,0,0,24,0.6,2.2,0.01,3.6,0,,0.7,0.3,1.7,0
0,0,0,0,0.01,0,0.01,0,0.7,,1.7,30.1,0.01,0
0,0,0,0,0,0,4.9,0,0,,19,0,0.01,7
0,0,0,0,0,0,0,15.1,0,,0,0,21.9,1.1
0,0,0,0,0,0,6.8,6.2,0,,0,0.2,3.6,0
11.3,0,0.2,0,1.1,0,0,0,11.7,,0,0,0.01,0.2
1.4,25.2,0.01,0,0,0,0,0.01,3.3,,0,0,42,0
0,15.5,2.7,0,0.3,0,0,4.4,0,,2.4,4.7,0.1,0
0,0,0,0,10.9,0,0,0,0,,0.01,0,1.6,0
0.01,0,0.4,0,0.01,0,0,0,0,,4,16.6,0,0
0,10,0,0,2.8,2.8,0,0,12.3,,0,9.2,0,0.01
0,4.4,0,0,1,20.1,2.4,0,0,,6.8,14.9,0,0
1.6,0,4.8,1.7,21.8,1.3,5.1,0,0.01,,0,0,0,72.8
0,0,0.6,107.6,0,0,0,0,24.1,,27.3,0,0,0.2
0,0,0,24.5,0,0,0,0,0,,7.1,0.2,0,16.2
0,0,0,2,0,4.2,0,0,0,,0,0,0,8.1
0,0.01,0,0,0,0,0.4,0,0,,1.7,0,0,1.2
0,0,0,0,0,0,13.3,0,0.01,,2.7,0,5.9,0
0,8.7,8.7,0,0,0,3.5,0,0.01,,0,0,0,0
0,0,0,0,0,0,34,0,0,,0,0,7.8,0
0,0,0,0,0,0,2.2,0,0.5,,0,0,30.4,19.5
0,0,4.6,0,0,0,0,3.2,5.5,,10.9,0,24.2,4.6
0,0,0,0,0,0,0,46.2,0,,0,0,0.01,2
0,0,0,8,0,0.01,0,12.1,0,,35.1,26.4,12.2,38.2
1.4,0,0,0,0,0,0,27.3,0,,16.4,5.2,0,3.4
0.8,0,0,4,0,0.01,0,0.01,0,,6.1,0,3.4,0
0,0,1.8,0,0,0.5,0,0.01,0.01,,0,0,TR,0
0,0,44,0,37.6,0,0,0,0,,0.01,0.2,6.8,0
0,0,6,0,0,0,0,0,0,,0.5,0,1,2.6
1.2,0,0.01,0,1.2,0,0,2.9,5.5,,0,0,38,0.4
0,1.9,0,0,0,0,0,0.2,27.2,,0,0,13.5,21.1
0,0,0,0,0.01,0,0,1.6,0,,0,0,0,3.9
0,1.3,0,0,0,0,0,0,0,,4.8,0,0,3.6
0,0,0,0,0,9.3,0,0,30.2,,8.2,0,9.5,0.6
0.01,0,0,0,0,0,0,0,1.4,,2.8,0,9,0
0,0,0,0,0,0,0,0,8.5,,0,0,0,0
0,0,0,0,0.01,0,0,0,2.2,,21.4,0.01,0,18.2
0,0,0,0,0,0,0,0.2,8.2,,11,0,0,4.1
0,0,0,0,0,0,0,0,0.8,,1.2,0.5,0,36
12.6,0,1.2,0,0,0,0,0,0,,0.6,5.6,3.9,1.7
3.2,0,0,0,0.4,5,0,0,0,,19.4,0.01,0,0
0,0,0,0,0,0.8,23.2,0,4,,0,0,0,0
0,0,0,0,0,0,0,0,0.01,,0,2,0,0
0,0,0,0,0,0,0,0,0.01,,0.01,0,21.3,0
,5,,,,,,,,,,,,
,0.7,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0.6,,,,,,,,,,,,
,0.01,,,,,,,,,,,,
,0.01,,,,,,,,,,,,
,7.4,,,,,,,,,,,,
,14,,,,,,,,,,,,
,6.6,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0.5,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0.01,,,,,,,,,,,,
,0.01,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024,,,,,,,,,,,,
,0.01,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0.1,,,,,,,,,,,,
,1.1,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0.01,,,,,,,,,,,,
,0.4,,,,,,,,,,,,
,0.5,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0.5,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,1.8,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0.1,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0,,,,,,,,,,,,
,0.01,,,,,,,,,,,,
,0,,,,,,,,,,,,
